关卡,文件名,文件名备份,难度,解锁机制,管道,参与循环,金币奖励,管道最大容量,出口数,引导内容,,,,
483,483,483,普通,无,,,25,,,,M,普通,,
484,484,484,困难,无,,,50,,,,H,困难,,
485,485,485,普通,无,,,25,,,,M,普通,,
486,486,486,普通,无,,,25,,,,M,普通,,
487,487,487,困难,无,,,50,,,,H,困难,,
488,488,488,普通,无,,,25,,,,E,普通,,
489,489,489,普通,无,,,25,,,,M,普通,,
490,490,490,非常困难,无,,,75,,,,SH,非常困难,,
491,491,491,普通,无,,,25,,,,E,普通,,
492,492,492,普通,无,,,25,,,,M,普通,,
493,493,493,普通,无,,,25,,,,M,普通,,
494,494,494,困难,无,,,50,,,,H,困难,,
495,495,495,普通,无,,,25,,,,M,普通,,
496,496,496,普通,无,,,25,,,,M,普通,,
497,497,497,困难,无,,,50,,,,H,困难,,
498,498,498,普通,无,,,25,,,,E,普通,,
499,499,499,普通,无,,,25,,,,M,普通,,
500,500,500,非常困难,无,,,75,,,,W,非常困难,,
